名称,シンドローム,最大Lv,タイミング,技能,難易度,対象,射程,侵蝕値,制限,,効果,内容,侵触率基本値,ｲｰｼﾞｰ,ｴﾈﾐｰ,ﾀﾞｲｽ,C値,C下,達成値,ATK,ID(検索用),出典,備考,,,簡単効果,,,,
光の弓,エンジェルハィロゥ,10,メジャーアクション,RC,対決,-,視界,1,-,,「攻撃力：+[LV+2]」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない,光を一点に収束し、解き放つことで熱衝撃波を発生させるエフェクト。,,FALSE,FALSE,,,,,,27,1,,,,ATK+2の射撃攻撃、同エンゲージ攻撃不可,光を一点に収束し、解き放つことで熱衝撃波を発生させるエフェクト。「攻撃力:+[LV+2]」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない,光を一点に収束し、解き放つことで熱衝撃波を発生させる,「攻撃力:+[LV+2]」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない,
ピンポイントレーザー,エンジェルハィロゥ,5,メジャーアクション,シンドローム,対決,-,-,2,-,,このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。ただし、その攻撃の攻撃力を-[5-LV](最大0)すること。,装甲の隙間を見抜き、撃ち抜くエフェクト。,,FALSE,FALSE,,,,,,28,1,,,,装甲無視、ATK-[5-Lv]（最大0）,装甲の隙間を見抜き、撃ち抜くエフェクト。このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。ただし、その攻撃の攻撃力を-[5-LV](最大0)すること。,装甲の隙間を見抜き、撃ち抜く,このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。ただし、その攻撃の攻撃力を-[5-LV](最大0)すること。,
マスヴィジョン,エンジェルハィロゥ,3,メジャーアクション,シンドローム,対決,-,-,4,100%,,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×5]する、このエフェクトは1シナリオに3回まで使用できる。,残像を複数作り出し、一斉攻撃を行なうエフェクト。,,FALSE,FALSE,,,,,,43,1,,,,シナリオ3、ATK+[Lv*5],残像を複数作り出し、一斉攻撃を行なうエフェクト。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×5]する、このエフェクトは1シナリオに3回まで使用できる。,残像を複数作り出し、一斉攻撃を行なう,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×5]する、このエフェクトは1シナリオに3回まで使用できる。,
光の守護,エンジェルハィロゥ,1,オートアクション,-,自動成功,自身,至近,4D10,120%,,重圧を受けていても使用可能。あなたにHPダメージを適用する直前に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。,光を集め、攻撃を受ける直前に残像と入れ替わるエフェクト。,,FALSE,FALSE,,,,,,45,1,,,,シナリオ1、重圧中も使用可能。あなたのHPダメージ直前に使用、ダメージを0に,光を集め、攻撃を受ける直前に残像と入れ替わるエフェクト。重圧を受けていても使用可能。あなたにHPダメージを適用する直前に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。,光を集め、攻撃を受ける直前に残像と入れ替わる,重圧を受けていても使用可能。あなたにHPダメージを適用する直前に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。,
光の裁き,エンジェルハィロゥ,3,メジャーアクション,シンドローム,対決,単体,-,5,ピュアブリード,,このエフェクトを組み合わせた射撃攻撃は判定のダイスを+[LV×2]個し、また攻撃のリアクションでドッジを選択することができない、このエフェクトは1シナリオに1回まで使用でき、攻撃の対象は単体でなければならない。,周囲を埋め尽くす光をもって、敵に回避不可能の一撃を撃つエフェクト。,,FALSE,FALSE,,,,,,48,1,,,,シナリオ1、射撃+[Lv×2]D、ドッジ選択不可,周囲を埋め尽くす光をもって、敵に回避不可能の一撃を撃つエフェクト。このエフェクトを組み合わせた射撃攻撃は判定のダイスを+[LV×2]個し、また攻撃のリアクションでドッジを選択することができない、このエフェクトは1シナリオに1回まで使用でき、攻撃の対象は単体でなければならない。,周囲を埋め尽くす光をもって、敵に回避不可能の一撃を撃つ,このエフェクトを組み合わせた射撃攻撃は判定のダイスを+[LV×2]個し、また攻撃のリアクションでドッジを選択することができない、このエフェクトは1シナリオに1回まで使用でき、攻撃の対象は単体でなければならない。,
因果歪曲,バロール,3,メジャーアクション,シンドローム,-,範囲(選択),-,3,-,,このエフェクトを組み合わせたエフェクトの対象を範囲(選択)に変更する。ただし、この効果を受けたエフェクトでは、あなたと同じエンゲージにいるキャラクターを対象にできない。このエフェクトは1シナリオにLV回まで使用でき,物理法則をねじ曲げて、効果を拡大するエフェクト。,,FALSE,FALSE,,,,,,63,1,,,,シナリオLv、対象を範囲(選択)に、同エンゲージ対象不可,物理法則をねじ曲げて、効果を拡大するエフェクト。このエフェクトを組み合わせたエフェクトの対象を範囲(選択)に変更する。ただし、この効果を受けたエフェクトでは、あなたと同じエンゲージにいるキャラクターを対象にできない。このエフェクトは1シナリオにLV回まで使用でき,物理法則をねじ曲げて、効果を拡大する,このエフェクトを組み合わせたエフェクトの対象を範囲(選択)に変更する。ただし、この効果を受けたエフェクトでは、あなたと同じエンゲージにいるキャラクターを対象にできない。このエフェクトは1シナリオにLV回まで使用でき,
巨人の斧,バロール,3,メジャーアクション,白兵/射撃,対決,-,武器,3,-,,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×3]する。ただし、このエフェクトを組み合わせた攻撃の判定のダイスを-2個する。,重力を操作することで、武器の見かけの重量を増大させ、攻撃力を増すエフェクト。,,FALSE,FALSE,,,,,,65,1,,,,ATK+[Lv×3]、判定-2D,重力を操作することで、武器の見かけの重量を増大させ、攻撃力を増すエフェクト。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×3]する。ただし、このエフェクトを組み合わせた攻撃の判定のダイスを-2個する。,重力を操作することで、武器の見かけの重量を増大させ、攻撃力を増す,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×3]する。ただし、このエフェクトを組み合わせた攻撃の判定のダイスを-2個する。,
黒の鉄槌,バロール,5,メジャーアクション,RC,対決,-,視界,1,-,,「攻撃力+[LV×2+2]」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,局所的に重力を発生させ、敵を押し潰すエフェクト。犠牲者の身体は見るも無惨に圧壊する。,,FALSE,FALSE,,,,,,70,1,,,,ATK+[Lv×2+2]の射撃、同エンゲージに攻撃不可,局所的に重力を発生させ、敵を押し潰すエフェクト。犠牲者の身体は見るも無惨に圧壊する。「攻撃力:+[LV×2+2]」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,局所的に重力を発生させ、敵を押し潰す,犠牲者の身体は見るも無惨に圧壊する。「攻撃力:+[LV×2+2]」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,
孤独の魔眼,バロール,3,オートアクション,-,自動成功,効果参照,視界,4,-,,あなたを対象に含む「対象：範囲」または「対象：範囲(選択)」の攻撃の判定が行なわれる直前に使用する。その攻撃の対象を「対象：単体」とし、あなたひとりに変更する。その攻撃であなたはカバーリングの対象にならない。このエフェクトは1シナリオにLV回まで使用できる。,攻撃を引き寄せるエフェクト。,,FALSE,FALSE,,,,,,72,1,,,,シナリオLv、「対象:範囲」または「対象:範囲(選択)」の攻撃の判定が行なわれる直前。攻撃対象をあなた単体に変更する。カバーリングの対象にはならない,攻撃を引き寄せるエフェクト。あなたを対象に含む「対象:範囲」または「対象:範囲(選択)」の攻撃の判定が行なわれる直前に使用する。その攻撃の対象を「対象:単体」とし、あなたひとりに変更する。その攻撃であなたはカバーリングの対象にならない。このエフェクトは1シナリオにLV回まで使用できる。,攻撃を引き寄せる,あなたを対象に含む「対象:範囲」または「対象:範囲(選択)」の攻撃の判定が行なわれる直前に使用する。その攻撃の対象を「対象:単体」とし、あなたひとりに変更する。その攻撃であなたはカバーリングの対象にならない。このエフェクトは1シナリオにLV回まで使用できる。,
漆黒の拳,バロール,5,メジャーアクション,白兵,対決,単体,武器,3,-,,素手による白兵攻撃を行なう。このエフェクトを組み合わせた攻撃の攻撃力を+LVし、さらに対象の装甲値を無視してダメージを算出する。,重力の塊を、自分の手で直接敵にぶつけるエフェクト。いかなる装甲も、暗黒の重力塊には無力だ。,,FALSE,FALSE,,,,,,73,1,,,,ATK+Lv、装甲無視,重力の塊を、自分の手で直接敵にぶつけるエフェクト。いかなる装甲も、暗黒の重力塊には無力だ。素手による自兵攻撃を行なう。このエフェクトを組み合わせた攻撃の攻撃力を+LVし、さらに対象の装甲値を無視してダメージを算出する。,重力の塊を、自分の手で直接敵にぶつける,いかなる装甲も、暗黒の重力塊には無力だ。素手による自兵攻撃を行なう。このエフェクトを組み合わせた攻撃の攻撃力を+LVし、さらに対象の装甲値を無視してダメージを算出する。,
斥力障壁,バロール,5,オートアクション,-,自動成功,単体,視界,2,-,,対象にHPダメージが適用される直前に使用する。対象が受ける(予定の)ダメージを-[1D+LV×3]する。このエフェクトは1ラウンドに1回まで使用できる。,対象の周囲を斥力場で覆い、攻撃から守るエフェクト。,,FALSE,FALSE,,,,,,80,1,,,,ラウンド1、ダメージ適応前、ダメージ-[1D+LV×3],対象の周囲を斥力場で覆い、攻撃から守るエフェクト。対象にHPダメージが適用される直前に使用する。対象が受ける(予定の)ダメージを-[1D+LV×3]する。このエフェクトは1ラウンドに1回まで使用できる。,対象の周囲を斥力場で覆い、攻撃から守る,対象にHPダメージが適用される直前に使用する。対象が受ける(予定の)ダメージを-[1D+LV×3]する。このエフェクトは1ラウンドに1回まで使用できる。,
斥力跳躍,バロール,5,マイナーアクション,-,自動成功,自身,至近,1,-,,飛行状態で戦闘移動を行なう。その際、移動距離を+[LV×2]mする。,力を瞬間的に発生させ、その反発力でジャンプするエフェクト。,,FALSE,FALSE,,,,,,81,1,,,,飛行で戦闘移動+[Lv×2]m,力を瞬間的に発生させ、その反発力でジャンプするエフェクト。飛行状態で戦闘移動を行なう。その際、移動距離を+[LV×2]mする。,力を瞬間的に発生させ、その反発力でジャンプする,飛行状態で戦闘移動を行なう。その際、移動距離を+[LV×2]mする。,
ダークマター,バロール,3,マイナーアクション,-,自動成功,自身,至近,2,-,,そのメインプロセスの間。バロールのエフェクトを組み合わせた判定のダイスを+LV個する。,"""魔眼”に意識を集中し、力を繰るための準備をするエフェクト。",,FALSE,FALSE,,,,,,85,1,,,,メインプロセス、判定+LvD,"""魔眼”に意識を集中し、力を繰るための準備をするエフェクト。そのメインプロセスの間。バロールのエフェクトを組み合わせた判定のダイスを+LV個する。","""魔眼”に意識を集中し、力を繰るための準備をする",そのメインプロセスの間。バロールのエフェクトを組み合わせた判定のダイスを+LV個する。,
灰色の庭,バロール,3,セットアッププロセス,-,自動成功,単体,視界,2,-,,そのラウンドの間対象の【行動値】を-[LV×3]する。,"敵の""重さ""を増加させ、素早さを下げるエフェクト。重力と事象を支配するあなたの前では、誰であれその実力を発揮することはできない。",,FALSE,FALSE,,,,,,89,1,,,,そのラウンド行動値-[Lv×3],敵の*重さを増加させ、素早さを下げるエフェクト。重力と事象を支配するあなたの前では、誰であれその実力を発揮することはできない。そのラウンドの間対象の【行動値】を-[LV×3]する。,敵の*重さを増加させ、素早さを下げる,重力と事象を支配するあなたの前では、誰であれその実力を発揮することはできない。そのラウンドの間対象の【行動値】を-[LV×3]する。,
魔王の理,バロール,5,メジャーアクション,シンドローム,対決,-,-,2,-,,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,重力のコントロールに長けていることを表わすエフェクト。あなたの力は空間を歪め、宇宙の法則さえもかき乱す。,,FALSE,FALSE,,,,,,91,1,,,,ATK+[LV×2],重力のコントロールに長けていることを表わすエフェクト。あなたの力は空間を歪め、宇宙の法則さえもかき乱このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,重力のコントロールに長けていることを表わす,あなたの力は空間を歪め、宇宙の法則さえもかき乱このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,
冥界の檻,バロール,3,セットアッププロセス,-,自動成功,範囲(選択),至近,5,-,,対象にバッドステークスの硬直を与える。この硬直は、あなたが戦闘移動全力移動、離脱のいずれかを行なった場合にも回復する。このエフェクトはあなたを対象にできず、1シナリオにLV回まで使用できる。,周囲に高重力をかけて、その移動を止めるエフェクト。,,FALSE,FALSE,,,,,,96,1,,,,シナリオLv、あなた以外に硬直を与える。この硬直は、あなたが移動をしたら回復する。,よく分からないエフェクト。あなたの所持している、素手以外の「種別:白兵」の武器からふたつ選択する。選択した武器を使用した射撃攻撃を行なう。この攻撃では、武器の命中と攻撃力を合計する。ただし、使用した武器は攻撃の成否にかかわらず、メインプロセスの終了時に破壊される。このエフェクトは1シナリオにLV回まで使用できる。,よく分からない,あなたの所持している、素手以外の「種別:白兵」の武器からふたつ選択する。選択した武器を使用した射撃攻撃を行なう。この攻撃では、武器の命中と攻撃力を合計する。ただし、使用した武器は攻撃の成否にかかわらず、メインプロセスの終了時に破壊される。このエフェクトは1シナリオにLV回まで使用できる。,
時間凍結,バロール,1,イニシアチブプロセス,-,自動成功,自身,至近,5,80%,,他エフェクトと組み合わせ不可。あなたはイニシアチブプロセスでメインプロセスを行なえる。また。このメインプロセスは行動済みでも行なえ、行なっても行動済みにならない、ただし、あなたは20点のHPを消費する。このエフェクトは1シナリオ1回まで使用できる。,詳しく書いてないエフェクト。,,FALSE,FALSE,,,,,,98,1,,,,シナリオ1、組み合わせ不可。イニシアチブでメインプロセスを行える。HP20消費,詳しく書いてないエフェクト。他エフェクトと組み合わせ不可。あなたはイニシアチブプロセスでメインプロセスを行なえる。また。このメインプロセスは行動済みでも行なえ、行なっても行動済みにならない、ただし、あなたは20点のHPを消費する。このエフェクトは1シナリオ1回まで使用できる。,詳しく書いてない,他エフェクトと組み合わせ不可。あなたはイニシアチブプロセスでメインプロセスを行なえる。また。このメインプロセスは行動済みでも行なえ、行なっても行動済みにならない、ただし、あなたは20点のHPを消費する。このエフェクトは1シナリオ1回まで使用できる。,
時の棺,バロール,1,オートアクション,-,自動成功,単体,視界,10,100%,,相手が判定を行なう直前に使用する。その判定は失敗となる。「難易度：自動成功」のような、判定を行なわないものには使用できない、このエフェクトは1シナリオに1回まで使用できる。,一瞬だけ時間を止め、相手の行動を阻害するエフェクト。たとえ利那であっても、時間停止という奇跡はあなたに大いなる勝機をもたらす。,,FALSE,FALSE,,,,,,100,1,,,,シナ1、判定直前に使用、判定失敗になる,-瞬だけ時間を止め、相手の行動を阻害するエフェクト。たとえ利那であっても、時間停止という奇跡はあなたに大いなる勝機をもたらす。相手が判定を行なう直前に使用する。その判定は失敗となる。「難易度:自動成功」のような、判定を行なわないものには使用できない、このエフェクトは1シナリオに1回まで使用できる。,-瞬だけ時間を止め、相手の行動を阻害する,たとえ利那であっても、時間停止という奇跡はあなたに大いなる勝機をもたらす。相手が判定を行なう直前に使用する。その判定は失敗となる。「難易度:自動成功」のような、判定を行なわないものには使用できない、このエフェクトは1シナリオに1回まで使用できる。,
黒星招来,バロール,1,オートアクション,-,自動成功,自身,至近,4D10,120%,,重圧を受けていても使用可能。あなたにHPダメージを適用する直前に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。,ブラックホールを形成し、敵の攻撃をすべて飲み込むエフェクト。黒き星の輝きの前に、何人たりともあなたを傷つけることはできない。,,FALSE,FALSE,,,,,,103,1,,,,整備中！まってね,ブラックホールを形成し、敵の攻撃をすべて飲み込むエフェクト。黒き星の輝きの前に、何人たりともあなたを傷つけることはできない。重圧を受けていても使用可能。あなたにHPダメージを適用する直前に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。技能:,ブラックホールを形成し、敵の攻撃をすべて飲み込む,黒き星の輝きの前に、何人たりともあなたを傷つけることはできない。重圧を受けていても使用可能。あなたにHPダメージを適用する直前に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。技能:,
黒星の門,バロール,3,メジャーアクション,シンドローム,-,-,-,2,ピュアブリード,,このエフェクトを組み合わせた場合。「あなたと同じエンゲージにいるキャラクターを対象にできない」と記載されたエフェクトでも、同じエンゲージに対して使用できる。また、このエフェクトを組み合わせた判定のダイスを+[LV+1]個する。,空間を高重力によって歪ませ、距離をねじ曲げるエフェクト。,,FALSE,FALSE,,,,,,106,1,,,,整備中！まってね,空間を高重力によって歪ませ、距離をねじ曲げるエフェクト。このエフェクトを組み合わせた場合。「あなたと同じエンゲージにいるキャラクターを対象にできない」と記載されたエフェクトでも、同じエンゲージに対して使用できる。また、このエフェクトを組み合わせた判定のダイスを+[LV+1個する。,空間を高重力によって歪ませ、距離をねじ曲げる,このエフェクトを組み合わせた場合。「あなたと同じエンゲージにいるキャラクターを対象にできない」と記載されたエフェクトでも、同じエンゲージに対して使用できる。また、このエフェクトを組み合わせた判定のダイスを+[LV+1個する。,
アームズリンク,ブラックドッグ,3,メジャーアクション,白兵/射撃,対決,-,武器,2,-,,このエフェクトを組み合わせた判定のダイスを+LV個する。,装備した武器と、自分の神経を直接結線することで、その武器をより効果的に扱うエフェクト。どんな武器でも、あなたにとっては体の一部と同じだ。,,FALSE,FALSE,,,,,,119,1,,,,整備中！まってね,装備した武器と、自分の神経を直接結線することで、その武器をより効果的に扱うエフェクト。どんな武器でも、あなたにとっては体の-部と同じだ。このエフェクトを組み合わせた判定のダイスを+LV個する。,装備した武器と、自分の神経を直接結線することで、その武器をより効果的に扱う,どんな武器でも、あなたにとっては体の-部と同じだ。このエフェクトを組み合わせた判定のダイスを+LV個する。,
イオノクラフト,ブラックドッグ,5,マイナーアクション,-,自動成功,自身,至近,1,-,,飛行状態で戦闘移動を行なう。その際、移動距離を+[LV×2]mする。,イオノクラフト効果により、飛行状態で移動するエフェクト。,,FALSE,FALSE,,,,,,121,1,,,,整備中！まってね,イオノクラフト効果により、飛行状態で移動するエフェクト。飛行状態で戦闘移動を行なう。その際、移動距離を+[LV×2]mする。,イオノクラフト効果により、飛行状態で移動する,飛行状態で戦闘移動を行なう。その際、移動距離を+[LV×2]mする。,
雷の加護,ブラックドッグ,3,マイナーアクション,-,自動成功,自身,至近,2,-,,そのメインプロセスの間。あなたが行なうブラックドッグのエフェクトを組み合わせた判定のダイスを+LV個する。,時間をかけて体内の電流を増幅するエフェクト。,,FALSE,FALSE,,,,,,122,1,,,,整備中！まってね,時間をかけて体内の電流を増幅するエフェクト。そのメインプロセスの間。あなたが行なうブラックドッグのエフェクトを組み合わせた判定のダイスを+LV個する。,時間をかけて体内の電流を増幅する,そのメインプロセスの間。あなたが行なうブラックドッグのエフェクトを組み合わせた判定のダイスを+LV個する。,
雷の槍,ブラックドッグ,5,メジャーアクション,RC,対決,-,視界,2,-,,「攻撃力：+[LV×2+4]の射撃攻撃を行なう。このエフェクトを組み合わせた判定のダイスを-1個する。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,増幅した電流を対象に向かって撃ち出し、攻撃するエフェクト。,,FALSE,FALSE,,,,,,126,1,,,,整備中！まってね,増幅した電流を対象に向かって撃ち出し、攻撃するエフェクト。「攻撃力:+[LV×2+4]の射撃攻撃を行なう。このエフェクトを組み合わせた判定のダイスを-1個する。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,増幅した電流を対象に向かって撃ち出し、攻撃する,「攻撃力:+[LV×2+4]の射撃攻撃を行なう。このエフェクトを組み合わせた判定のダイスを-1個する。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,
ウェポンマウント,ブラックドッグ,5,常時,-,自動成功,自身,至近,-,-,,常備化ボイントが[LV×5+5]以下の武器をひとつ選択すること。あなたはそのアイテムを入手、常備化できる。選択したアイテムはイニシアチブプロセスで装備、所持の切り替えができる。このエフェクトは侵触率でレベルアップしない、このエフェクトを取得した場合、侵触率基本値を+2する。,武器を体内に装備するエフェクト。,2,FALSE,FALSE,,,,,,127,1,,,,整備中！まってね,武器を体内に装備するエフェクト。常備化ボイントが[LV×5+5]以下の武器をひとつ選択すること。あなたはそのアイテムを入手、常備化できる。選択したアイテムはイニシアチブプロセスで装備、所持の切り替えができる。このエフェクトは侵触率でレベルアップしない、このエフェクトを取得した場合、侵触率基本値を+2する。,武器を体内に装備する,常備化ボイントが[LV×5+5]以下の武器をひとつ選択すること。あなたはそのアイテムを入手、常備化できる。選択したアイテムはイニシアチブプロセスで装備、所持の切り替えができる。このエフェクトは侵触率でレベルアップしない、このエフェクトを取得した場合、侵触率基本値を+2する。,
球電の盾,ブラックドッグ,5,オートアクション,-,自動成功,自身,至近,1,-,,あなたがガードを行なう際に宣言する。このガードの間あなたのガード値を+[LV×2]する。,対象を球電で包み込み、攻撃から守るエフェクト。,,FALSE,FALSE,,,,,,132,1,,,,整備中！まってね,対象を球電で包み込み、攻撃から守るエフェクト。あなたがガードを行なう際に宣言する。このガードの間あなたのガード値を+[LV×2]する。,対象を球電で包み込み、攻撃から守る,あなたがガードを行なう際に宣言する。このガードの間あなたのガード値を+[LV×2]する。,
