id,技能,系統,区分,Lv,名称(原文),名称(正規),読み,動作,消費,条件,対象,射程/形状,時間,抵抗,属性,効果概要,参照,拡張・適用対象,備考
13,ソーサラー,真語魔法,,4,【ファミリア】,ファミリア,ファミリア,▶,MP15,,接触点,接触/-,永続,なし,,使い魔を作製し、使役する,I-251/MA-70,,
14,ソーサラー,真語魔法,,4,【マーキング】,マーキング,マーキング,▶,MP2,,物体1つ,接触/-,3日,なし,,対象の方角と距離がわかるようになる,I-251/MA-70,,
15,ソーサラー,真語魔法,,4,【ライトニング】,ライトニング,ライトニング,▶,MP7,,任意の地点,2(30m)/貫通,一瞬,半減,雷,k20ダメージ,I-251/MA-70,,
16,ソーサラー,真語魔法,,5,【ウェポン・マスター】,ウェポン・マスター,ウェポンマスター,▶,MP5,,1体,2(30m)/起点指定,3分(18R),任意,,対象に一時的に戦闘特技を与える,I-252/MA-70,,
17,ソーサラー,真語魔法,,5,【ウォール・ウォーキング】,ウォール・ウォーキング,ウォールウォーキング,▶,MP3,,1体全,2(30m)/起点指定,3分(18R),任意,,対象は壁や天井を歩ける,I-252/MA-70,,
18,ソーサラー,真語魔法,,5,【トランスレイト】,トランスレイト,トランスレイト,▶,MP2,,術者,術者/-,3分(18R),任意,,文字の内容を直感的に理解する,I-252/MA-70,,
19,ソーサラー,真語魔法,,5,【ブラスト】,ブラスト,ブラスト,▶,MP6,,1体,接触/-,一瞬,半減,衝撃,k30ダメージ,I-252/MA-71,,
20,ソーサラー,真語魔法,,6,【コンシール・セルフ】,コンシール・セルフ,コンシールセルフ,▶,MP15,,術者,術者/-,1時間,任意,,術者の存在を隠蔽する,I-253/MA-71,,
21,ソーサラー,真語魔法,,6,【ハード・ロック】,ハード・ロック,ハードロック,▶,MP4,,物体1つ,接触/-,永続,なし,,魔法の施錠を行う,I-253/MA-71,,
22,ソーサラー,真語魔法,,6,【ファイアボール】,ファイアボール,ファイアボール,▶,MP8,,1エリア(半径3m)/5,2(30m)/射撃,一瞬,半減,炎,k20ダメージ,I-253/MA-71,,
23,ソーサラー,真語魔法,,6,【レビテーション】,レビテーション,レビテーション,▶,MP6,,術者,術者/-,3分(18R),任意,,空中を浮遊する,I-253/MA-71,,
24,ソーサラー,真語魔法,,7,【アナライズ・エンチャントメント】,アナライズ・エンチャントメント,アナライズエンチャントメント,▶,MP4,,物体1つ、または、1体,1(10m)/起点指定,一瞬,必中,,かけられている魔法の詳細を知る,II-156/MA-71,,
25,ソーサラー,真語魔法,,7,【アポート】,アポート,アポート,▶,MP5,,物体1つ,2(無限)/-,一瞬,なし,,所有物を手元に呼び寄せる,II-156/MA-71,,
26,ソーサラー,真語魔法,,7,【スティール・マインド】,スティール・マインド,スティールマインド,▶,MP2,,1体,1(10m)/起点指定,一瞬,消滅,呪い,k10でMPを奪取する,II-156/MA-71,,
27,ソーサラー,真語魔法,,7,【タング】,タング,タング,▶,MP5,,術者,術者/-,3分(18R),任意,,未知の言語での会話ができる,II-157/MA-72,,
28,ソーサラー,真語魔法,,8,⏩△【ブリンク】,ブリンク,ブリンク,⏩△,MP10,,術者,術者/-,3分(18R),任意,,分身を作り出し、攻撃への身代わりとする,II-158/MA-72,,
29,ソーサラー,真語魔法,,8,【エネルギー・ジャベリン】,エネルギー・ジャベリン,エネルギージャベリン,▶,MP9,,1体,2(30m)/射撃,一瞬,半減,純エネルギー,k40ダメージ,II-158/MA-72,,
30,ソーサラー,真語魔法,,8,【クリエイト・デバイス】,クリエイト・デバイス,クリエイトデバイス,▶,MP4,,接触点,接触/-,永続,なし,,〈魔法の発動体〉を作製する,II-158/MA-72,,
31,ソーサラー,真語魔法,,8,【マジシャン】,マジシャン,マジシャン,▶,MP6,,1体,1(10m)/起点指定,30秒(3R),任意,,対象を一時的に魔法の熟練者とする,II-158/MA-72,,
32,ソーサラー,真語魔法,,9,【イレイス・マジック】,イレイス・マジック,イレイスマジック,▶,MP6,,1体,1(10m)/起点指定,3分(18R),消滅,,6レベル/ランク以下の魔法行使を封じる,II-159/MA-72,,
33,ソーサラー,真語魔法,,9,【テレキネシス】,テレキネシス,テレキネシス,▶,MP6,,物体1つ,2(30m)/起点指定,3分(18R),なし,,物体を浮かせ、動かす,II-159/MA-72,,
34,ソーサラー,真語魔法,,9,【ブレード・ネット】,ブレード・ネット,ブレードネット,▶,MP10,,1体,1(10m)/起点指定,30秒(3R),短縮,断空,対象をマナの刃で囲み、行動すればk0ダメージ,II-159/MA-72,,
35,ソーサラー,真語魔法,,9,【レデュース・マジック】,レデュース・マジック,レデュースマジック,▶,MP5,,術者,術者/-,1日,任意,,受けた魔法からマナを吸収する,II-159/MA-72,,
36,ソーサラー,真語魔法,,10,【シースルー】,シースルー,シースルー,▶,MP6,,1エリア(半径2m)/空間,1(10m)/射撃,10秒(1R),なし,,対象を術者から透明にする,II-160/MA-73,,
37,ソーサラー,真語魔法,,10,【シール・エンチャントメント】,シール・エンチャントメント,シールエンチャントメント,▶,MP7,,物体1つ,接触/-,永続,なし,,対象の魔力を隠す,II-160/MA-73,,
38,ソーサラー,真語魔法,,10,【フライト】,フライト,フライト,▶,MP8,,1体X,接触/-,1時間,任意,,対象は空を飛べるようになる,II-160/MA-73,,
39,ソーサラー,真語魔法,,10,【ブリザード】,ブリザード,ブリザード,▶,MP10,,1エリア(半径6m)/20,2(30m)/起点指定,一瞬,半減,水・氷,k30ダメージ,II-160/MA-73,,
40,ソーサラー,真語魔法,,11,【サンダー・ボルト】,サンダー・ボルト,サンダーボルト,▶,MP13,,1体,2(30m)/起点指定,一瞬,半減,雷,k50ダメージ,III-145/MA-73,,
41,ソーサラー,真語魔法,,11,【スロウ】,スロウ,スロウ,▶,MP8,,1体X,2(30m)/起点指定,1分(6R),消滅,,対象の動きを鈍らせる,III-145/MA-73,,
42,ソーサラー,真語魔法,,11,【ファミリアⅡ】,ファミリアⅡ,ファミリア,▶,MP30,,接触点,接触/-,永続,なし,,上位の使い魔を作製し、使役する,III-145/MA-73,,
43,ソーサラー,真語魔法,,12,【シャイニング・スポット】,シャイニング・スポット,シャイニングスポット,▶,MP16,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬,半減,純エネルギー,k40ダメージ、C値⑨,III-146/MA-74,,
44,ソーサラー,真語魔法,,12,【ショック】,ショック,ショック,▶,MP15,,1体,2(50m)/射撃,一瞬,必中,衝撃,k30の物理ダメージ、MPにも適用,III-146/MA-74,,
45,ソーサラー,真語魔法,,12,【ピカム・ドラゴン】,ピカム・ドラゴン,ピカムドラゴン,▶,MP20,,術者,術者/-,1日,任意,,ドラゴネットに変身する,III-146/MA-74,,
46,ソーサラー,真語魔法,,13,【デスルーテリィ】,デスルーテリィ,デスルーテリィ,▶,MP9,,1体,2(30m)/起点指定,30秒(3R),短縮,精神効果,魔法行使判定-4,III-147/MA-74,,
47,ソーサラー,真語魔法,,13,【テレポート】,テレポート,テレポート,▶,MP15,,物体1つ、または、1体X,1(10m)/起点指定,一瞬,任意,,対象を望みの場所に瞬間移動させる,III-147/MA-74,,
48,ソーサラー,真語魔法,,13,【ライトニング・バインド】,ライトニング・バインド,ライトニングバインド,▶,MP19,,1体,1(10m)/起点指定,1分(6R),短縮,雷,対象を拘束、かつ、k20ダメージ,III-147/MA-74,,
49,ソーサラー,真語魔法,,14,【ディメンション・ゲート】,ディメンション・ゲート,ディメンションゲート,▶,MP23,,任意の地点,1(10m)/起点指定,30秒(3R),なし,,遠くへ至る抜け道を作製する,III-148/MA-75,,
50,ソーサラー,真語魔法,,14,【ディメンション・ソード】,ディメンション・ソード,ディメンションソード,▶,MP18,,任意の地点,2(50m)/貫通,一瞬,半減,断空,k60ダメージ,III-148/MA-75,,
51,ソーサラー,真語魔法,,14,【マジック・リフレクション】,マジック・リフレクション,マジックリフレクション,▶,MP17,,術者,術者/-,3分(18R),任意,,魔法をその行使者に跳ね返す,III-148/MA-75,,
52,ソーサラー,真語魔法,,15,【セーブ・ザ・ワールド】,セーブ・ザ・ワールド,セーブザワールド,▶,MP50,,全エリア(半径500m)/空間,術者/-,1時間,なし,,決して破れない外殻を作り出す,III-149/MA-75,,
53,ソーサラー,真語魔法,,15,【パーフェクト・キャンセレーション】,パーフェクト・キャンセレーション,パーフェクトキャンセレーション,▶,MP33,,1エリア(半径6m)/20,2(30m)/起点指定,一瞬,消滅,,すべての特殊効果を消滅させる,III-149/MA-75,,
54,ソーサラー,真語魔法,,15,【メテオ・ストライク】,メテオ・ストライク,メテオストライク,▶,MP30,,1エリア(半径6m)/20,2(50m)/起点指定,一瞬,半減,衝撃,k100ダメージ。広範囲の破壊も可能,III-149/MA-75,,
55,コンジャラー,操霊魔法,,1,【エンチャント・ウェポン】,エンチャント・ウェポン,エンチャントウェポン,▶,MP2,,1体,2(30m)/起点指定,3分(18R),任意,,武器や拳、爪などを強化し、物理ダメージ+1,I-254/MA-79,,
56,コンジャラー,操霊魔法,,1,【スパーク】,スパーク,スパーク,▶,MP6,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬,半減,雷,k0ダメージ,I-254/MA-79,,
57,コンジャラー,操霊魔法,,1,【ダーク・ミスト】,ダーク・ミスト,ダークミスト,▶,MP2,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬/10秒(1R),消滅,,回避力判定-2,I-254/MA-79,,
58,コンジャラー,操霊魔法,,1,【プロテクション】,プロテクション,プロテクション,▶,MP1,,1体,1(10m)/起点指定,3分(18R),任意,,対象の被ダメージを-1,I-254/MA-79,,
59,コンジャラー,操霊魔法,,2,【アース・ヒール】,アース・ヒール,アースヒール,▶,MP3,,1体,1(10m)/起点指定,一瞬,消滅,,k0で回復,I-255/MA-79,,
60,コンジャラー,操霊魔法,,2,【カウンター・マジック】,カウンター・マジック,カウンターマジック,▶,MP1,,1体全,2(30m)/起点指定,3分(18R),任意,,精神抵抗力判定+2,I-255/MA-79,,
61,コンジャラー,操霊魔法,,2,【コマンド・ドール】,コマンド・ドール,コマンドドール,▶,MP4,,人形1つ,接触/-,1日、または、命令達成まで,なし,,人形を命令通りに動かす,I-255/MA-79,,
62,コンジャラー,操霊魔法,,2,【ファナティシズム】,ファナティシズム,ファナティシズム,▶,MP3,,1体,2(30m)/起点指定,3分(18R),消滅,精神効果,命中力判定+2、回避力判定-2,I-255/MA-79,,
63,コンジャラー,操霊魔法,,3,【クリエイト・アンデッド】,クリエイト・アンデッド,クリエイトアンデッド,▶,MP4～,,接触点,接触/-,1日,なし,,アンデッドを作製し、動かす,II-161/MA-79,,
64,コンジャラー,操霊魔法,,3,【クリエイト・ゴーレム】,クリエイト・ゴーレム,クリエイトゴーレム,▶,MP4～,,接触点,接触/-,1日,なし,,ゴーレムを作製し、動かす,II-161/MA-79,,
65,コンジャラー,操霊魔法,,3,【ファイア・ウェポン】,ファイア・ウェポン,ファイアウェポン,▶,MP4,,1体,2(30m)/起点指定,3分(18R),任意,,攻撃を炎属性にし、物理ダメージ+2,I-256/MA-80,,
66,コンジャラー,操霊魔法,,3,【レイジング・アース】,レイジング・アース,レイジングアース,▶,MP7,,2～3エリア(半径10m)/空間,1(10m)/起点指定,30秒(3R),必中,,毎ラウンド3点を回復,I-256/MA-80,,
67,コンジャラー,操霊魔法,,4,【ディスガイズ】,ディスガイズ,ディスガイズ,▶,MP3,,1体全,接触/-,1時間,任意,,対象の見た目を変える,I-257/MA-80,,
68,コンジャラー,操霊魔法,,4,【ドール・サイト】,ドール・サイト,ドールサイト,▶,MP3,,人形1つ,接触/-,1時間,なし,,人形やぬいぐるみを通して視界を得る,I-257/MA-80,,
69,コンジャラー,操霊魔法,,4,【フォビドゥン・マジック】,フォビドゥン・マジック,フォビドゥンマジック,▶,MP5,,1体,1(10m)/起点指定,30秒(3R),消滅,呪い,1系統3レベル以下の魔法を禁止する,I-257/MA-80,,
70,コンジャラー,操霊魔法,,4,【ポイズン・クラウド】,ポイズン・クラウド,ポイズンクラウド,▶,MP6,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬/1分(6R),消滅,毒,対象の手番終了時に3ダメージ,I-257/MA-80,,
71,コンジャラー,操霊魔法,,5,【アース・シールド】,アース・シールド,アースシールド,▶,MP4,,1体,2(50m)/起点指定,3分(18R),任意,,防護点+2,I-258/MA-80,,
72,コンジャラー,操霊魔法,,5,【インテンス・コントロール】,インテンス・コントロール,インテンスコントロール,▶,MP5,,1体X,2(30m)/起点指定,3分(18R),任意,,術者の作製したゴーレムなどを強化する,I-258/MA-80,,
73,コンジャラー,操霊魔法,,5,【スペル・エンハンス】,スペル・エンハンス,スペルエンハンス,▶,MP3,,1体,接触/-,3分(18R),任意,,魔力+1,I-258/MA-80,,
74,コンジャラー,操霊魔法,,6,【カウンター・センス】,カウンター・センス,カウンターセンス,▶,MP3,,術者,術者/-,1日,任意,,かけられた魔法を探知する,I-259/MA-80,,
75,コンジャラー,操霊魔法,,6,【スタン・クラウド】,スタン・クラウド,スタンクラウド,▶,MP6,,1エリア(半径5m)/15,2(30m)/起点指定,一瞬/30秒(3R),消滅,毒,宣言特技と補助動作を禁じる,I-259/MA-81,,
76,コンジャラー,操霊魔法,,6,【マナ・アブソーブ】,マナ・アブソーブ,マナアブソーブ,▶,MP6,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬/30秒(3R),消滅,,消費MP2倍、MP消費時HPを3点回復,I-259/MA-81,,
77,コンジャラー,操霊魔法,,6,【リモート・ドール】,リモート・ドール,リモートドール,▶,MP5,,人形1つ,接触/-,1時間,なし,,人形を自らの代わりとして行動させる,I-259/MA-81,,
78,コンジャラー,操霊魔法,,7,⏩△【ダブル・インディケイト】,ダブル・インディケイト,ダブルインディケイト,⏩△,MP6,,術者,術者/-,10秒(1R),任意,,同時に2体のゴーレムやアンデッドに指示できる,II-162/MA-81,,
79,コンジャラー,操霊魔法,,7,【ドレイン・タッチ】,ドレイン・タッチ,ドレインタッチ,▶,MP7,,1体,接触/-,一瞬,半減,呪い,k10でHPを吸い取る,II-162/MA-81,,
80,コンジャラー,操霊魔法,,7,【リザレクション】,リザレクション,リザレクション,▶,MP20,,死体1つ,接触/-,一瞬,なし,,死者の魂を呼び戻し、蘇生させる,II-162/MA-81,,
81,コンジャラー,操霊魔法,,8,【アイシクル・ウェポン】,アイシクル・ウェポン,アイシクルウェポン,▶,MP5,,1体,2(30m)/起点指定,3分(18R),任意,,攻撃を水・氷属性にし、物理ダメージ+3,II-163/MA-81,,
82,コンジャラー,操霊魔法,,8,【アシッド・クラウド】,アシッド・クラウド,アシッドクラウド,▶,MP10,,1エリア(半径5m)/15,2(30m)/起点指定,一瞬,半減,毒,k20ダメージ,II-163/MA-81,,
83,コンジャラー,操霊魔法,,8,【イリュージョン】,イリュージョン,イリュージョン,▶,MP4,,任意の地点,2(30m)/起点指定,1日,なし,,幻覚を作る,II-163/MA-82,,
84,コンジャラー,操霊魔法,,8,【クリメイション】,クリメイション,クリメイション,▶,MP8,,1体,1(10m)/射撃,一瞬,半減,炎,k20ダメージ、アンデッド、魔法生物、魔動機には+5ダメージ,II-163/MA-82,,
85,コンジャラー,操霊魔法,,9,【カース・ドール】,カース・ドール,カースドール,▶,MP6,,1体,2(30m)/起点指定,一瞬,半減,呪い,人形を媒介にk30ダメージを与える,II-164/MA-82,,
86,コンジャラー,操霊魔法,,9,【バインド・オペレーション】,バインド・オペレーション,バインドオペレーション,▶,MP8,,1体,2(30m)/起点指定,3分(18R),短縮,,対象の動きを制限する,II-164/MA-82,,
87,コンジャラー,操霊魔法,,9,【プロテクションⅡ】,プロテクションⅡ,プロテクション,▶,MP3,,1体,2(30m)/起点指定,3分(18R),任意,,対象の被ダメージを-3,II-164/MA-82,,
88,コンジャラー,操霊魔法,,9,【ポゼッション】,ポゼッション,ポゼッション,▶,MP7,,術者,術者/-,3分(18R),任意,,死者の魂を自らの肉体に移す,II-165/MA-82,,
89,コンジャラー,操霊魔法,,10,【コマンド】,コマンド,コマンド,▶,MP10,,1体全,2(30m)/起点指定,1分(6R),消滅,,ゴーレムやアンデッドの支配権を奪う,II-165/MA-82,,
90,コンジャラー,操霊魔法,,10,【スケープ・ドール】,スケープ・ドール,スケープドール,▶,MP8,,人形1つ,接触/-,1日,なし,,人形に負傷を肩代わりさせる,II-166/MA-83,,
91,コンジャラー,操霊魔法,,10,【フィジカル・ギミック】,フィジカル・ギミック,フィジカルギミック,▶,MP12,,1体,接触/-,永続,任意,,肉体的な欠損を人工的に補う,II-166/MA-83,,
92,コンジャラー,操霊魔法,,10,【ペトロ・クラウド】,ペトロ・クラウド,ペトロクラウド,▶,MP9,,1エリア(半径5m)/15,2(30m)/起点指定,一瞬/1分(6R),消滅,呪い,対象を石化する,II-166/MA-83,,
93,コンジャラー,操霊魔法,,11,【アース・ヒールⅡ】,アース・ヒールⅡ,アースヒール,▶,MP8,,1体,2(30m)/起点指定,一瞬,消滅,,k30で回復,III-150/MA-83,,
94,コンジャラー,操霊魔法,,11,【スニーク】,スニーク,スニーク,▶,MP7,,1体X,接触/-,3分(18R),任意,,対象を魔法的・機械的な知覚から隠蔽する,III-150/MA-83,,
95,コンジャラー,操霊魔法,,11,【ヘイスト】,ヘイスト,ヘイスト,▶,MP18,,1体X,2(30m)/起点指定,1分(6R),任意,,対象の動きを加速する,III-150/MA-83,,
96,コンジャラー,操霊魔法,,12,⏩△【チェンジ・ポジション】,チェンジ・ポジション,チェンジポジション,⏩△,MP12,,人形1つ,2(30m)/起点指定,一瞬,なし,,人形と位置を瞬時に入れ替える,III-151/MA-84,,
97,コンジャラー,操霊魔法,,12,【ソニック・ウェポン】,ソニック・ウェポン,ソニックウェポン,▶,MP8,,1体,2(30m)/起点指定,3分(18R),任意,,攻撃を風属性にし、C値-1、物理ダメージ+2,III-151/MA-84,,
98,コンジャラー,操霊魔法,,12,【マナ・シール】,マナ・シール,マナシール,▶,MP16,,1体,1(10m)/起点指定,1分(6R),消滅,,マナの大量消費を禁じる,III-151/MA-84,,
99,コンジャラー,操霊魔法,,13,【レイジング・アースⅡ】,レイジング・アースⅡ,レイジングアース,▶,MP18,,2～3エリア(半径10m)/空間,1(10m)/起点指定,30秒(3R),必中,,毎ラウンド10点を回復,III-152/MA-84,,
100,コンジャラー,操霊魔法,,13,【レイス・フォーム】,レイス・フォーム,レイスフォーム,▶,MP20,,術者,術者/-,1日,任意,,精神を肉体から切り離し、レイスとして行動する,III-152/MA-84,,
101,コンジャラー,操霊魔法,,14,【コピー・ドール】,コピー・ドール,コピードール,▶,MP20,,人形1つ,接触/-,1年,なし,,人形を自身に瓜二つの姿にし、分身として動かす,III-153/MA-85,,
102,コンジャラー,操霊魔法,,14,【スティール・メモリー】,スティール・メモリー,スティールメモリー,▶,MP19,,1体全,接触/-,永続,消滅,,対象の記憶を奪う,III-153/MA-85,,
103,コンジャラー,操霊魔法,,14,【クイック・リザレクション】,クイック・リザレクション,クイックリザレクション,▶,MP30,,死体1つ,2(30m)/起点指定,一瞬,任意,,死者を即座に蘇生させる。穢れ表を+10で参照,III-154/MA-85,,
104,コンジャラー,操霊魔法,,15,【デス・クラウド】,デス・クラウド,デスクラウド,▶,MP26,,1エリア(半径6m)/20,2(30m)/起点指定,一瞬,半減,呪い,k60ダメージ、生死判定-20,III-154/MA-85,,
105,コンジャラー,操霊魔法,,15,【レブナント・カース】,レブナント・カース,レブナントカース,▶,MP30,,1体全,接触/-,1日,消滅,呪い,殺した後、レブナントとして仕えさせる呪印を与える,III-154/MA-85,,
106,ウィザード,深智魔法,,1,【ウィザード・サイン】,ウィザード・サイン,ウィザードサイン,▶,MP2,,物体1つ,接触/-,12時間,なし,,術者のサインを残す,MA-87,,
107,ウィザード,深智魔法,,1,【キャントリップ】,キャントリップ,キャントリップ,▶,MP1,,術者,術者/-,一瞬/10秒(1R),任意,,ちょっとした幻覚を見せる,MA-87,,
108,ウィザード,深智魔法,,1,【バランス・ウェポン】,バランス・ウェポン,バランスウェポン,▶,MP2,,1体+1体,2(30m)/起点指定,3分(18R),消滅,,敵の物理ダメージを-4、味方を+1,MA-87,,
109,ウィザード,深智魔法,,2,⏩【ロックオン】,ロックオン,ロックオン,⏩,MP3,,1体全,2(30m)/起点指定,3分(18R),必中,,対象に照準を合わせる,MA-87,,
110,ウィザード,深智魔法,,2,【タフパワー】,タフパワー,タフパワー,▶,MP3,,1体全,2(30m)/起点指定,3分(18R),任意,,生命・精神抵抗力をともに+2,MA-87,,
111,ウィザード,深智魔法,,2,【バッド・イメージ】,バッド・イメージ,バッドイメージ,▶,MP5,,1エリア(半径3m)/空間,接触/-,1日,必中,精神効果,いやな雰囲気を醸し出す,MA-87,,
112,ウィザード,深智魔法,,3,⏩【リプレイス・サウンド】,リプレイス・サウンド,リプレイスサウンド,⏩,MP4,,任意の地点,2(30m)/起点指定,10秒(1R),なし,,術者の声を別の場所で発生させる,MA-87,,
113,ウィザード,深智魔法,,3,【インスタント・アンデッド】,インスタント・アンデッド,インスタントアンデッド,▶,MP4～,,接触点,接触/-,1分(6R),なし,,即席でアンデッドを作製する,MA-87,,
114,ウィザード,深智魔法,,3,【インスタント・ゴーレム】,インスタント・ゴーレム,インスタントゴーレム,▶,MP4～,,接触点,接触/-,1分(6R),なし,,即席でゴーレムを作製する,MA-87,,
115,ウィザード,深智魔法,,3,【リモート・キー】,リモート・キー,リモートキー,▶,MP4,,物体1つ,1(10m)/起点指定,一瞬,消滅,,遠隔で鍵を操作する,MA-87,,
116,ウィザード,深智魔法,,4,【トキシック・ブリーズ】,トキシック・ブリーズ,トキシックブリーズ,▶,MP7,,任意の地点,2(30m)/貫通,一瞬,半減,毒,k20ダメージ,MA-88,,
117,ウィザード,深智魔法,,4,【フローティング・アイ】,フローティング・アイ,フローティングアイ,▶,MP4,,接触点,接触/-,3分(18R),なし,,浮遊する目を作り、偵察する,MA-88,,
118,ウィザード,深智魔法,,5,⏩【マナ・コンバージェンス】,マナ・コンバージェンス,マナコンバージェンス,⏩,MP4,,術者,術者/-,10秒(1R),任意,,接触して行使する魔法の魔力+1,MA-88,,
119,ウィザード,深智魔法,,5,【ディフェンス・マスター】,ディフェンス・マスター,ディフェンスマスター,▶,MP5,,1体,2(30m)/起点指定,3分(18R),任意,,対象に一時的に戦闘特技を与える,MA-88,,
120,ウィザード,深智魔法,,6,【スリープ・クラウド】,スリープ・クラウド,スリープクラウド,▶,MP12,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬/30秒(3R),消滅,精神効果(弱),対象を眠らせる,MA-88,,
121,ウィザード,深智魔法,,6,【ホールド・ポータル】,ホールド・ポータル,ホールドポータル,▶,MP4,,物体1つ,1(10m)/起点指定,6時間,なし,,扉を決して開かなくする,MA-88,,
122,ウィザード,深智魔法,,7,【テレオペレート・ドール】,テレオペレート・ドール,テレオペレートドール,▶,MP10,,人形1つ,2(無限)/-,1時間,なし,,遠隔地の人形を動かし、視覚と聴覚を得る,MA-89,,
123,ウィザード,深智魔法,,7,【ドロー・アウト】,ドロー・アウト,ドローアウト,▶,MP7,,1体,1(10m)/射撃,一瞬,半減,呪い,対象のHPとMPを吸収する,MA-89,,
124,ウィザード,深智魔法,,8,【サーマル・イリュージョン】,サーマル・イリュージョン,サーマルイリュージョン,▶,MP6,,任意の地点,1(10m)/起点指定,1日,なし,,温度感覚を欺く幻覚を作製する,MA-89,,
125,ウィザード,深智魔法,,8,【ライフ・デリバー】,ライフ・デリバー,ライフデリバー,▶,MP8,,1体+1体,2(30m)/起点指定,一瞬,半減,呪い,敵からHPを奪い、味方に与える,MA-89,,
126,ウィザード,深智魔法,,9,【スリーショット・ライトニング】,スリーショット・ライトニング,スリーショットライトニング,▶,MP12,,任意の3地点,2(30m)/貫通,一瞬,半減,雷,k20の稲妻を3本放つ、束ねるごとk+5,MA-89,,
127,ウィザード,深智魔法,,9,【タクタイル・イリュージョン】,タクタイル・イリュージョン,タクタイルイリュージョン,▶,MP6,,任意の地点,1(10m)/起点指定,1日,なし,,触覚を欺く幻覚を作製する,MA-89,,
128,ウィザード,深智魔法,,10,⏩【マルチターゲット】,マルチターゲット,マルチターゲット,⏩,MP8,,術者,術者/-,10秒(1R),任意,,広範囲の魔法を複数同時に行使する,MA-90,,
129,ウィザード,深智魔法,,10,【プロテクションⅢ】,プロテクションⅢ,プロテクション,▶,MP4,,1体,2(30m)/起点指定,3分(18R),任意,,ダメージを4点軽減,MA-90,,
130,ウィザード,深智魔法,,11,【デリュード・エンチャントメント】,デリュード・エンチャントメント,デリュードエンチャントメント,▶,MP12,,魔法1つ,接触/-,永続,なし,,魔法効果の内容を偽る,MA-90,,
131,ウィザード,深智魔法,,11,【バランス・タイム】,バランス・タイム,バランスタイム,▶,MP18,,1体X+1体X,2(30m)/起点指定,1分(6R),消滅,,敵の時を遅らせ、味方の時を速める,MA-90,,
132,ウィザード,深智魔法,,12,【ギアス】,ギアス,ギアス,▶,MP19,,1体全,接触/-,永続,消滅,呪い,禁忌の呪いを与える,MA-91,,
133,ウィザード,深智魔法,,12,【フリー・フライト】,フリー・フライト,フリーフライト,▶,MP9,,術者,術者/-,1時間,任意,,自在に飛行する,MA-91,,
134,ウィザード,深智魔法,,13,【デス・レイ】,デス・レイ,デスレイ,▶,MP12,,1体,2(30m)/射撃,一瞬,半減,呪い,k70ダメージ,MA-91,,
